No.,Subtest,mean_p_value_T,pooled_pass_rate,channels_without_STS_flags,report_rows
1,Frequency,0.3613,0.9878,9/9,9
2,BlockFrequency,0.4260,0.9896,9/9,9
3a,CumulativeSums (1),0.3469,0.9861,9/9,9
3b,CumulativeSums (2),0.3635,0.9861,9/9,9
4,Runs,0.4123,0.9878,9/9,9
5,LongestRun,0.4545,0.9913,9/9,9
6,Rank,0.3575,0.9896,9/9,9
7,FFT,0.3932,0.9931,9/9,9
8,NonOverlappingTemplate,0.4377,0.9900,9/9,1332
9,OverlappingTemplate,0.3424,0.9861,9/9,9
10,Universal,0.4767,0.9878,9/9,9
11,ApproximateEntropy,0.3102,0.9931,9/9,9
12,RandomExcursions,0.3476,0.9906,9/9,72
13,RandomExcursionsVariant,0.3388,0.9906,9/9,162
14a,Serial (1),0.4913,0.9948,9/9,9
14b,Serial (2),0.2943,0.9965,9/9,9
15,LinearComplexity,0.4471,0.9948,9/9,9
