file,test,instance,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,p_value_uniformity,pass_count,sample_size,pass_ratio,uniformity_flag,proportion_flag,status
ch01,Frequency,1,7,12,8,5,2,5,7,5,7,6,0.32418,63,64,0.984375,False,False,PASS
ch01,BlockFrequency,1,10,8,2,6,4,10,10,5,3,6,0.134686,62,64,0.96875,False,False,PASS
ch01,CumulativeSums,1,5,9,10,3,7,9,2,4,6,9,0.195163,64,64,1.0,False,False,PASS
ch01,CumulativeSums,2,6,10,7,6,7,7,4,5,4,8,0.804337,63,64,0.984375,False,False,PASS
ch01,Runs,1,5,3,4,9,9,4,9,11,8,2,0.090936,62,64,0.96875,False,False,PASS
ch01,LongestRun,1,9,8,5,8,10,4,8,4,4,4,0.437274,63,64,0.984375,False,False,PASS
ch01,Rank,1,5,5,6,2,8,10,7,3,6,12,0.122325,63,64,0.984375,False,False,PASS
ch01,FFT,1,10,4,5,3,10,9,8,5,6,4,0.299251,63,64,0.984375,False,False,PASS
ch01,NonOverlappingTemplate,1,8,6,6,4,3,9,3,8,7,10,0.407091,63,64,0.984375,False,False,PASS
ch01,NonOverlappingTemplate,2,5,7,8,3,10,5,10,4,10,2,0.122325,63,64,0.984375,False,False,PASS
ch01,NonOverlappingTemplate,3,11,6,7,5,4,7,5,8,9,2,0.32418,64,64,1.0,False,False,PASS
ch01,NonOverlappingTemplate,4,6,4,10,4,9,6,5,8,5,7,0.671779,62,64,0.96875,False,False,PASS
ch01,NonOverlappingTemplate,5,11,5,11,5,2,6,3,12,3,6,0.015963,64,64,1.0,False,False,PASS
ch01,NonOverlappingTemplate,6,3,10,6,7,9,5,11,1,3,9,0.043745,63,64,0.984375,False,False,PASS
ch01,NonOverlappingTemplate,7,8,9,6,8,2,5,6,8,8,4,0.568055,63,64,0.984375,False,False,PASS
ch01,NonOverlappingTemplate,8,8,3,9,6,9,4,5,5,9,6,0.568055,64,64,1.0,False,False,PASS
ch01,NonOverlappingTemplate,9,3,5,5,7,11,7,5,10,5,6,0.407091,62,64,0.96875,False,False,PASS
ch01,NonOverlappingTemplate,10,6,6,9,1,7,6,11,5,8,5,0.275709,63,64,0.984375,False,False,PASS
ch01,NonOverlappingTemplate,11,10,7,11,3,5,3,7,8,4,6,0.23276,64,64,1.0,False,False,PASS
ch01,NonOverlappingTemplate,12,8,4,8,9,6,7,8,3,8,3,0.534146,64,64,1.0,False,False,PASS
ch01,NonOverlappingTemplate,13,5,4,5,10,2,10,7,7,5,9,0.275709,63,64,0.984375,False,False,PASS
ch01,NonOverlappingTemplate,14,10,3,6,9,4,6,4,4,6,12,0.134686,64,64,1.0,False,False,PASS
ch01,NonOverlappingTemplate,15,5,6,9,6,6,8,4,8,6,6,0.931952,64,64,1.0,False,False,PASS
ch01,NonOverlappingTemplate,16,7,2,8,10,9,3,6,6,3,10,0.148094,64,64,1.0,False,False,PASS
ch01,NonOverlappingTemplate,17,5,6,8,5,6,7,5,6,11,5,0.77276,63,64,0.984375,False,False,PASS
ch01,NonOverlappingTemplate,18,4,3,9,5,5,10,6,4,10,8,0.299251,64,64,1.0,False,False,PASS
ch01,NonOverlappingTemplate,19,4,5,6,9,12,4,2,8,6,8,0.162606,64,64,1.0,False,False,PASS
ch01,NonOverlappingTemplate,20,5,5,4,7,6,8,8,6,5,10,0.804337,63,64,0.984375,False,False,PASS
